id,nickname,city,state
300017880,30A Adagio (Unit A-303) (OFFBOARDED),Walton County,Florida
300021961,Bright 3BR Upper-Level Stay • Central AC • Pet-Friendly,Windsor,Ontario
300022285,Camp Nine Rd. - Audrea,Bonners Ferry,Idaho
300021195,Casey Key Rd - Vijay,Nokomis,Florida
300022330,Chase St -  Nohemi,Lakewood,Colorado
300022336,Gerber Dairy Rd. (Big House) - Abi,Winter Haven,Florida
300022335,Gerber Dairy Rd. (Small) - Abi,Winter Haven,Florida
300022798,Grand Fountains Dr. - Jorge,Houston,Texas
300022280,Hwy 95 - Audrea,Naples,Idaho
300022501,N Brickyard Rd (Unit 1121) - Kelly,Columbia,South Carolina
300022502,N Brickyard Rd (Unit 1131) - Kelly,Columbia,South Carolina
300022504,N Brickyard Rd (Unit 1132) - Kelly,Columbia,South Carolina
300022500,N Brickyard Rd. (Unit 5213) - Kelly,Columbia,South Carolina
300022801,Oakledge Dr. NW - Kenneth,Marietta,Georgia
300022518,Parkbrook St - Lily,Spring Valley,California
300017923,Ridgeway Dr - Jamaal,Houston,Texas
300017049,,,
